Дата и время,CO,NO2,NO,PM2.5,Давление,Влажность,| V |,_V_,-T-,Осадки
07.04.2021 00:00,0.1,0.0392,0,0.018,738.8,73.2,0.6,45,5.9,0
07.04.2021 00:20,0.1,0.0446,0.001,0.019,738.7,74.2,0.6,17,5.8,0
07.04.2021 00:40,0.1,0.0373,0,0.018,738.8,75.3,0.5,41,5.6,0
07.04.2021 01:00,0.1,0.0386,0,0.017,738.8,76.8,0.7,69,5.4,0
07.04.2021 01:20,0,0.0316,0,0.016,738.8,78.5,1,48,5.1,0
07.04.2021 01:40,0,0.0253,0,0.016,738.8,80.2,0.8,48,4.8,0
07.04.2021 02:00,0,0.0264,0,0.015,738.7,81.8,0.7,66,4.5,0
07.04.2021 02:20,0,0.0246,0,0.015,738.7,83.4,0.6,0,4.2,0
07.04.2021 02:40,0,0.0242,0.001,0.015,738.6,84.4,0.4,13,3.9,0
07.04.2021 03:00,0,0.0233,0,0.014,738.3,85,0.5,46,3.8,0
07.04.2021 03:20,0,0.0262,0.001,0.013,738.2,85,0.6,0,3.8,0
07.04.2021 03:40,0,0.0266,0.001,0.014,738.1,85,0.3,0,3.8,0
07.04.2021 04:00,0,0.0207,0,0.015,738.1,84.5,0.4,63,4,0
07.04.2021 04:20,0,0.0221,0,0.014,738,83.3,0.1,0,4.2,0
07.04.2021 04:40,0,0.0206,0,0.014,737.9,82.8,0.1,0,4.4,0
07.04.2021 05:00,0,0.0243,0,0.015,737.8,82,0,0,4.5,0
07.04.2021 05:20,0.1,0.0413,0.001,0.015,737.8,82,0.1,0,4.6,0
07.04.2021 05:40,0.1,0.0571,0.007,0.016,737.6,82,0,0,4.4,0
07.04.2021 06:00,0.2,0.0585,0.013,0.016,737.6,82,0.1,0,4.5,0
07.04.2021 06:20,0.2,0.0593,0.024,0.017,737.6,81.8,0,0,4.5,0
07.04.2021 06:40,0.4,0.0612,0.037,0.018,737.5,80.8,0,0,4.7,0
07.04.2021 07:00,0.5,0.0612,0.046,0.018,737.4,79.3,0,0,5.1,0
07.04.2021 07:20,0.9,0.0641,0.048,0.02,737.2,76.7,0,0,5.7,0
07.04.2021 07:40,0.3,0.066,0.029,0.02,737.3,74.8,0.1,187,6.1,0
07.04.2021 08:00,0.2,0.0663,0.019,0.021,737.3,73.4,0.3,102,6.4,0
07.04.2021 08:20,0.2,0.0649,0.017,0.021,737.3,73.6,0.2,192,6.5,0
07.04.2021 08:40,0.2,0.0632,0.02,0.02,737.3,74.1,0.2,0,6.4,0
07.04.2021 09:00,0.2,0.062,0.023,0.021,737.3,74.1,0.1,189,6.6,0
07.04.2021 09:20,0.2,0.0628,0.022,0.021,737.3,74,0.4,36,6.9,0
07.04.2021 09:40,0.2,0.0648,0.022,0.021,737.5,75.2,0.3,0,6.9,0
07.04.2021 10:00,0.2,0.0593,0.019,0.022,737.4,77.5,0.3,236,6.8,0
07.04.2021 10:20,0.2,0.0506,0.022,0.02,737.3,76.8,0.4,206,7.2,0
07.04.2021 10:40,0.2,0.0406,0.017,0.02,737.3,73.8,0.5,145,8.1,0
07.04.2021 11:00,0.1,0.0407,0.015,0.019,737.3,70.9,0.8,127,8.6,0
07.04.2021 11:20,0.1,0.0415,0.015,0.018,737.2,68,0.8,197,9.1,0
07.04.2021 11:40,0.2,0.0415,0.014,0.018,737.3,64.8,0.8,227,9.6,0
07.04.2021 12:00,0.2,0.0336,0.006,0.016,737.4,62,0.8,249,9.7,0
07.04.2021 12:20,0.2,0.0327,0.006,0.015,737.4,60.1,1,31,9.8,0
07.04.2021 12:40,0.2,0.0287,0.004,0.012,737.3,58.5,0.8,232,9.8,0
07.04.2021 13:00,0.2,0.019,0.004,0.005,736.9,56.1,0.8,210,10.5,0
07.04.2021 13:20,0.2,0.0159,0.003,0.005,736.6,51.7,1.1,350,11.4,0
07.04.2021 13:40,0.2,0.0175,0.002,0.014,736.6,49,1.3,0,11.3,0
07.04.2021 14:00,0.2,0.0226,0.002,0.013,736.5,51.7,1.2,222,10.7,0
07.04.2021 14:20,0.2,0.0256,0.003,0.012,736.3,50.9,1,174,11.1,0
07.04.2021 14:40,0.2,0.0266,0.002,0.011,736.3,51.3,1.2,187,10.7,0
07.04.2021 15:00,0.2,0.0286,0.002,0.011,736.2,51.5,1,197,10.7,0
07.04.2021 15:20,0.2,0.0281,0.002,0.009,736,48.1,1.2,204,10.8,0
07.04.2021 15:40,0.1,0.0151,0.001,0.008,736,45.5,1.5,269,10.6,0
07.04.2021 16:00,0.2,0.0251,0.001,0.01,736,46,1.5,132,10.4,0
07.04.2021 16:20,0.2,0.0297,0.001,0.01,736,46.8,1.4,141,10.1,0
07.04.2021 16:40,0.2,0.0348,0.002,0.01,736.1,47.8,1.2,161,9.8,0
07.04.2021 17:00,0.2,0.0194,0.001,0.012,736,52.7,1.4,188,9.4,0
07.04.2021 17:20,0.2,0.0209,0.001,0.012,736,57.8,0.9,214,9,0
07.04.2021 17:40,0.2,0.027,0.001,0.014,736.1,65.5,1,241,8.3,0
07.04.2021 18:00,0.2,0.0273,0,0.012,735.9,67.7,0.7,218,7.9,0
07.04.2021 18:20,0.2,0.0362,0.001,0.012,735.8,68.3,0.7,54,7.8,0
07.04.2021 18:40,0.2,0.0291,0,0.012,735.6,71.1,1,235,7.5,0
07.04.2021 19:00,0.2,0.0291,0,0.012,735.5,74.8,0.8,235,7.1,0
07.04.2021 19:20,0.2,0.0319,0,0.013,735.4,76.4,0.8,218,6.9,0
07.04.2021 19:40,0.2,0.0209,0,0.013,735.3,77.9,1.1,214,6.6,0.2
07.04.2021 20:00,0.2,0.02,0.001,0.011,735.3,82.3,0.5,274,5.9,0.2
07.04.2021 20:20,0.2,0.0232,0,0.01,735.2,85,0.8,207,5.5,0.6
07.04.2021 20:40,0.2,0.0215,0,0.007,735.1,85.9,0.6,0,5,0.2
07.04.2021 21:00,0.2,0.0319,0,0.005,734.9,87.3,0.6,174,4.6,0.4
07.04.2021 21:20,0.2,0.0261,0,0.004,734.7,87.4,0.7,126,4.1,0.2
07.04.2021 21:40,0.2,0.0313,0.002,0.004,734.4,88,0.5,195,3.9,0
07.04.2021 22:00,0.2,0.0282,0,0.003,734.1,88,0.4,202,3.7,0.2
07.04.2021 22:20,0.2,0.0326,0,0.003,733.7,88.8,0.3,28,3.7,0.2
07.04.2021 22:40,0.2,0.0428,0,0.005,733.4,88.9,0.4,248,3.6,0
07.04.2021 23:00,0.2,0.0367,0,0.004,733,88.9,0.3,0,3.5,0
07.04.2021 23:20,0.2,0.0415,0,0.006,732.7,89,0.6,64,3.4,0
07.04.2021 23:40,0.1,0.0413,0,0.01,732.5,89.4,0.5,50,3.3,0
08.04.2021 00:00,0.1,0.0462,0,0.012,732.1,89.5,0.3,0,3.3,0
08.04.2021 00:20,0.2,0.0502,0,0.012,731.9,89.2,0,0,3.5,0
08.04.2021 00:40,0.2,0.052,0.001,0.011,731.6,88.2,0.2,0,3.8,0
08.04.2021 01:00,0.2,0.0696,0.002,0.011,731.4,88,0.1,68,3.8,0
08.04.2021 01:20,0.2,0.0809,0.01,0.011,731.2,88.8,0.2,0,3.6,0
08.04.2021 01:40,0.2,0.0797,0.007,0.011,731,89.3,0,354,3.5,0
08.04.2021 02:00,0.2,0.0772,0.003,0.011,730.8,88.8,0.1,0,3.6,0
08.04.2021 02:20,0.2,0.0761,0.004,0.011,730.7,88.6,0.1,347,4,0
08.04.2021 02:40,0.2,0.075,0.011,0.012,730.6,89.3,0.3,210,3.8,0
08.04.2021 03:00,0.2,0.0754,0.014,0.012,730.6,89.8,0.4,183,3.6,0
08.04.2021 03:20,0.1,0.0495,0.001,0.011,730.5,89.1,0.5,171,3.4,0
08.04.2021 03:40,0.1,0.035,0,0.009,730.4,89,0.9,148,3.2,0
08.04.2021 04:00,0.1,0.0285,0,0.006,730.2,90.4,0.3,186,3,0
08.04.2021 04:20,0.1,0.0294,0,0.006,730.2,90.1,0.3,228,3,0
08.04.2021 04:40,0.1,0.0259,0,0.005,730.1,90,0.4,163,2.9,0
08.04.2021 05:00,0.1,0.0257,0,0.005,730,90.3,0.5,0,2.8,0
08.04.2021 05:20,0.1,0.0289,0,0.005,729.7,91,0.3,0,2.9,0
08.04.2021 05:40,0.1,0.0354,0,0.006,729.7,91,0.5,170,3,0
08.04.2021 06:00,0.1,0.0513,0.001,0.007,729.6,91,0.2,0,3.1,0
08.04.2021 06:20,0.2,0.0423,0.001,0.008,729.5,91,0.1,0,3.3,0
08.04.2021 06:40,0.1,0.0356,0.001,0.007,729.4,91,0.3,184,3.4,0.2
08.04.2021 07:00,0.2,0.0422,0.002,0.007,729.3,91.8,0.1,153,3.3,0.2
08.04.2021 07:20,0.2,0.045,0.006,0.007,729.3,91.6,0.8,221,3.4,0.2
08.04.2021 07:40,0.1,0.0418,0.004,0.007,729.3,91,1.2,181,3.2,0.8
08.04.2021 08:00,0.2,0.0396,0.006,0.005,729.3,90.9,0.5,0,2.9,0.6
08.04.2021 08:20,0.1,0.0474,0.007,0.004,729.1,91,0.5,160,2.9,0.2
08.04.2021 08:40,0.1,0.0443,0.005,0.003,729,90.1,0.8,181,2.6,1.2
08.04.2021 09:00,0.1,0.0446,0.007,0.002,729.1,90.2,0.5,133,1.8,0.8
08.04.2021 09:20,0.2,0.058,0.026,0.004,729.3,91,0.5,270,1.2,1
08.04.2021 09:40,0.2,0.0454,0.02,0.005,729.4,92.4,0.5,0,0.7,0.8
08.04.2021 10:00,0.1,0.0298,0.01,0.005,729.6,93,0.7,237,0.6,0.4
08.04.2021 10:20,0.1,0.021,0.006,0.005,729.9,93,1.1,143,0.5,0.4
08.04.2021 10:40,0.1,0.021,0.005,0.004,730.2,93,1.7,186,0.5,0.2
08.04.2021 11:00,0.1,0.0182,0.003,0.005,730.5,92.8,1.9,225,0.5,0.2
08.04.2021 11:20,0.1,0.0164,0.003,0.006,730.9,92,1.9,231,0.5,0.2
08.04.2021 11:40,0,0.0132,0.002,0.006,731.3,92,2.3,195,0.5,0.2
08.04.2021 12:00,0,0.0123,0.002,0.007,731.7,92,2.2,204,0.6,0
08.04.2021 12:20,0,0.0114,0.002,0.007,732.2,91.8,2.3,348,0.6,0.2
08.04.2021 12:40,0,0.0113,0.002,0.007,732.7,92,2.1,220,0.5,0.4
08.04.2021 13:00,0,0.0105,0.001,0.007,733.2,92,2.2,167,0.5,0.2
