Дата и время,CO,NO2,NO,PM2.5,Давление,Влажность,| V |,_V_,-T-,Осадки
07.04.2021 00:00,0.4,0.0511,0.009,0.015,732.5,63.3,1,266,6.4,0
07.04.2021 00:20,0.4,0.0613,0.006,0.015,732.4,64,0.2,267,6.3,0
07.04.2021 01:00,0.4,0.0644,0.004,0.017,732.5,64.3,0.6,272,6.3,0
07.04.2021 01:40,0.3,0.0432,0.004,0.015,732.5,65.8,0.8,206,6,0
07.04.2021 01:20,0.3,0.0497,0.002,0.017,732.5,65,0.7,168,6.2,0
07.04.2021 00:40,0.4,0.0727,0.011,0.016,732.3,64.8,0.4,267,6.2,0
07.04.2021 02:20,0.3,0.045,0.003,0.015,732.3,69.1,0.6,0,5.6,0
07.04.2021 02:00,0.3,0.042,0.003,0.014,732.4,67.1,1,0,5.8,0
07.04.2021 02:40,0.3,0.0449,0.002,0.016,732.2,71.6,0.5,116,5.3,0
07.04.2021 03:00,0.3,0.0562,0.003,0.015,732.1,72.3,1.4,64,5.1,0
07.04.2021 03:20,0.3,0.05,0.003,0.014,732.1,71.5,1.5,56,5,0
07.04.2021 03:40,0.3,0.0446,0.001,0.014,732,72,1.4,61,4.8,0
07.04.2021 04:20,0.4,0.067,0.013,0.015,731.9,72.2,0.4,54,4.7,0
07.04.2021 04:00,0.3,0.054,0.006,0.015,732,72,0.6,0,4.8,0
07.04.2021 04:40,0.3,0.0683,0.008,0.016,731.8,72,0.3,0,4.7,0
07.04.2021 05:00,0.4,0.0716,0.016,0.016,731.6,71.9,0.3,85,4.7,0
07.04.2021 05:40,0.3,0.0692,0.003,0.019,731.6,69.5,1,56,4.8,0
07.04.2021 05:20,0.3,0.0698,0.007,0.017,731.5,71.3,0.4,80,4.7,0
07.04.2021 06:00,0.4,0.0742,0.008,0.02,731.6,70.6,0.6,101,4.7,0
07.04.2021 06:20,0.4,0.0676,0.008,0.02,731.6,71,0.8,58,4.6,0
07.04.2021 07:00,0.3,0.0478,0.005,0.017,731.4,70.9,1.2,74,4.9,0
07.04.2021 06:40,0.3,0.0509,0.004,0.018,731.5,71,1,61,4.7,0
07.04.2021 07:40,0.4,0.0488,0.006,0.017,731.3,71,1.8,58,5.1,0
07.04.2021 08:20,0.4,0.0569,0.016,0.019,731.4,71,1.5,62,5.4,0
07.04.2021 08:00,0.4,0.0541,0.012,0.018,731.3,71,1.7,80,5.1,0
07.04.2021 07:20,0.3,0.0494,0.007,0.017,731.3,70.9,1.7,55,5.1,0
07.04.2021 09:00,0.4,0.0513,0.021,0.02,731.4,72,1.4,68,5.7,0
07.04.2021 09:20,0.4,0.0483,0.01,0.019,731.5,72.3,1.6,48,5.6,0
07.04.2021 08:40,0.4,0.0545,0.016,0.019,731.4,71.2,1.4,60,5.6,0
07.04.2021 10:00,0.4,0.037,0.013,0.018,731.4,72,1.8,40,6.1,0
07.04.2021 09:40,0.4,0.0452,0.013,0.019,731.5,73,1.7,75,5.6,0
07.04.2021 12:00,0.1,0.0267,0.008,0.011,731.6,54,1.3,27,9.2,0
07.04.2021 10:40,0.4,0.0378,0.018,0.018,731.4,66,1.1,82,7.8,0
07.04.2021 12:20,0.1,0.0304,0.007,0.01,731.5,53.7,1.4,60,9.2,0
07.04.2021 11:20,0.3,0.0329,0.015,0.015,731.5,58.4,1.2,52,9,0
07.04.2021 12:40,0.1,0.0185,0.005,0.009,731.2,51.5,2.8,77,9.6,0
07.04.2021 10:20,0.4,0.0328,0.013,0.019,731.4,68.5,1.7,51,7,0
07.04.2021 11:40,0.1,0.0272,0.008,0.013,731.6,56,1.4,143,9.1,0
07.04.2021 11:00,0.3,0.0318,0.012,0.017,731.4,61.5,1.5,157,8.5,0
07.04.2021 13:20,0,0.0209,0.004,0.009,730.9,47.4,2.6,60,10.3,0
07.04.2021 13:00,0,0.0191,0.006,0.007,731,47.1,1.7,85,10.4,0
07.04.2021 14:20,0.1,0.0302,0.005,0.01,730.4,48.3,2.3,53,10,0
07.04.2021 14:40,0,0.0224,0.004,0.007,730.3,43.2,3,68,10.2,0
07.04.2021 13:40,0.1,0.0221,0.005,0.009,730.7,46.7,2,71,10.3,0
07.04.2021 17:00,0.1,0.0247,0.003,0.018,730.3,61.8,1.6,97,7.7,0
07.04.2021 14:00,0,0.0202,0.003,0.009,730.5,47.1,3,147,10.2,0
07.04.2021 15:00,0,0.021,0.004,0.004,730.2,39.4,2,47,10.2,0
07.04.2021 15:40,0,0.0205,0.003,0.009,730.2,40.5,2.8,73,9.6,0
07.04.2021 16:00,0,0.0214,0.003,0.01,730.2,42.7,2.9,56,9.2,0
07.04.2021 16:20,0,0.0202,0.002,0.011,730.2,47.1,2.8,71,8.8,0
07.04.2021 16:40,0,0.0229,0.003,0.014,730.3,52,2.2,44,8.5,0
07.04.2021 15:20,0,0.0251,0.006,0.007,730.2,39.7,1.9,40,10.1,0
07.04.2021 17:20,0.1,0.0236,0.002,0.012,730.1,64.3,2,100,7.1,0
07.04.2021 17:40,0.2,0.0297,0.004,0.012,730,66.3,1.9,79,7,0
07.04.2021 18:00,0.1,0.0293,0.003,0.014,729.9,69.8,2.3,96,6.6,0
07.04.2021 18:20,0.2,0.0409,0.003,0.013,729.7,71.5,2,79,6.5,0
07.04.2021 18:40,0.2,0.0433,0.007,0.012,729.5,72.7,2.3,79,6.3,0
07.04.2021 20:00,0.1,0.0288,0.002,0.007,729.2,81,2.8,91,4.4,0.2
07.04.2021 19:00,0.1,0.0314,0.003,0.013,729.4,75.8,2.3,39,5.9,0
07.04.2021 20:20,0.1,0.0252,0.002,0.004,729.1,81.5,2.5,100,3.8,0.4
07.04.2021 21:20,0.1,0.0357,0.004,0.005,728.3,84,1.3,61,3.1,0.2
07.04.2021 21:40,0.2,0.0429,0.011,0.006,728,84,0.9,0,2.9,0.2
07.04.2021 21:00,0.1,0.0377,0.007,0.003,728.6,83.3,1.6,71,3.2,0.4
07.04.2021 22:20,0.2,0.0449,0.014,0.008,727.4,84.9,0.7,62,2.7,0.2
07.04.2021 19:20,0.2,0.0362,0.004,0.015,729.4,79.4,2.1,85,5.5,0.6
07.04.2021 20:40,0.1,0.0252,0.002,0.003,728.9,82.3,2.5,95,3.4,0.2
07.04.2021 19:40,0.1,0.0339,0.002,0.011,729.2,80.1,2.4,88,4.9,0.2
07.04.2021 22:00,0.2,0.0397,0.007,0.007,727.7,84.6,0.9,125,2.8,0
07.04.2021 22:40,0.1,0.048,0.003,0.009,727,85,1.5,61,2.7,0
07.04.2021 23:20,0.1,0.0538,0.002,0.015,726.3,85,0.5,0,2.8,0
07.04.2021 23:00,0.2,0.0529,0.004,0.012,726.6,85,1.2,59,2.7,0
07.04.2021 23:40,0.3,0.0596,0.012,0.009,726,85,0.1,0,3,0
08.04.2021 23:20,0.1,0.0341,0.001,0.006,737.2,78,1.4,304,1.1,0
08.04.2021 23:40,0.1,0.0244,0.001,0.006,737.3,78.4,1.3,287,1.1,0
08.04.2021 23:00,0.1,0.0406,0.002,0.009,736.9,77.2,1,320,1.1,0
08.04.2021 20:40,0.2,0.0628,0.006,0.009,735.6,75,1,58,1.6,0
08.04.2021 20:20,0.2,0.0541,0.004,0.008,735.4,74,1,161,1.8,0
08.04.2021 21:00,0.2,0.064,0.006,0.005,735.9,75,0.8,27,1.5,0
08.04.2021 22:40,0.1,0.0425,0.002,0.007,736.6,77,0.9,293,1,0
08.04.2021 21:20,0.1,0.0514,0.005,0.006,736.1,74.2,1.2,94,1.5,0
08.04.2021 20:00,0.1,0.035,0.006,0.006,735.1,73.9,1.1,156,1.9,0
08.04.2021 22:20,0.1,0.0348,0.002,0.006,736.5,75.9,1.2,345,1.1,0
08.04.2021 18:40,0.2,0.0559,0.008,0.005,734.2,80.9,0.8,321,1.8,0
08.04.2021 18:00,0.2,0.0422,0.011,0.011,733.9,81.2,1.3,181,1.2,0
08.04.2021 21:40,0.1,0.0417,0.004,0.008,736.3,74.1,1,131,1.4,0
08.04.2021 18:20,0.2,0.0464,0.008,0.008,734,82,0.6,270,1.5,0
08.04.2021 19:40,0.1,0.0314,0.003,0.006,734.9,74,1,39,2.2,0
08.04.2021 19:00,0.2,0.0499,0.006,0.008,734.4,79.5,0.7,289,2,0
08.04.2021 19:20,0.2,0.0378,0.007,0.009,734.6,76.6,1,48,2.2,0
08.04.2021 22:00,0.1,0.0333,0.003,0.008,736.4,74.7,1.2,161,1.3,0
08.04.2021 17:40,0.1,0.025,0.004,0.01,733.4,69.8,1.8,0,3,0.2
08.04.2021 17:00,0.3,0.0325,0.009,0.008,732.5,62.4,1.7,241,4.3,0
08.04.2021 17:20,0.1,0.0294,0.007,0.007,732.8,59.7,1.2,14,4.4,0
08.04.2021 16:00,0.1,0.0196,0.009,0.009,731.6,67.9,2.4,233,3.7,0
08.04.2021 15:20,0.1,0.0164,0.006,0.009,730.8,73.7,3.6,267,3.1,0
08.04.2021 15:40,0.1,0.0209,0.008,0.009,731.2,69.9,2.2,272,3.5,0
08.04.2021 16:20,0.1,0.0209,0.007,0.009,732,65.4,2.4,307,4,0
08.04.2021 15:00,0.1,0.0167,0.007,0.009,730.5,76.7,3.1,301,2.4,0
08.04.2021 16:40,0.1,0.0219,0.01,0.006,732.2,62.6,1.8,286,4.2,0
08.04.2021 00:00,0.3,0.0558,0.006,0.008,725.7,85,0.4,0,3.1,0
08.04.2021 00:20,0.3,0.0574,0.003,0.008,725.6,84.8,0.1,0,3.1,0
08.04.2021 14:40,0.1,0.0174,0.006,0.009,730.2,79.5,3.4,266,1.9,0
08.04.2021 01:00,0.4,0.0733,0.009,0.007,725.1,83.6,0,0,3.5,0
08.04.2021 13:00,0.1,0.0206,0.008,0.008,727.5,86,3.4,282,0.5,0
08.04.2021 00:40,0.3,0.0683,0.006,0.007,725.3,84,0,0,3.3,0
08.04.2021 13:20,0.1,0.0172,0.008,0.006,728,85.1,4.1,287,0.6,0.2
08.04.2021 01:20,0.4,0.0757,0.012,0.008,724.9,82.8,0,0,3.9,0
08.04.2021 14:00,0.1,0.0209,0.007,0.01,729.1,84.3,2.6,248,1,0
08.04.2021 01:40,0.3,0.0618,0.013,0.009,724.7,82.4,0,0,4,0
08.04.2021 13:40,0.1,0.02,0.007,0.006,728.6,85,3.2,294,0.8,0
08.04.2021 14:20,0,0.0164,0.005,0.009,729.7,82.4,3.9,237,1.4,0
08.04.2021 02:00,0.3,0.0483,0.002,0.009,724.5,83,0.1,0,3.7,0
08.04.2021 02:20,0.3,0.0577,0.002,0.009,724.5,83.3,0.4,0,3.7,0
08.04.2021 02:40,0.3,0.0647,0.002,0.008,724.5,83,0.4,0,3.4,0
08.04.2021 03:00,0.3,0.0418,0.001,0.007,724.4,83.7,0.6,295,3.2,0
08.04.2021 12:40,0.1,0.0179,0.008,0.009,726.9,86,3.7,233,0.4,0.2
08.04.2021 12:20,0.1,0.0197,0.008,0.009,726.3,86,3.4,270,0.3,0.2
08.04.2021 03:20,0.2,0.0332,0.001,0.004,724.3,84,0.7,21,3.1,0
08.04.2021 12:00,0.1,0.0182,0.007,0.007,725.8,86,3.4,210,0.3,0.2
08.04.2021 11:40,0.1,0.0201,0.007,0.007,725.3,86,3,259,0.3,0.2
08.04.2021 03:40,0.2,0.0282,0.001,0.006,724.1,84.1,0.4,166,3,0
08.04.2021 11:20,0.3,0.0202,0.007,0.006,724.9,86,3.3,68,0.2,0
08.04.2021 07:20,0.3,0.0407,0.006,0.002,723.1,86.5,0.8,75,2.7,0.2
08.04.2021 07:00,0.3,0.0362,0.003,0.006,723.1,87,0.6,25,2.8,0.2
08.04.2021 04:00,0.2,0.0286,0.001,0.007,724,84.7,0.6,98,3,0
08.04.2021 05:40,0.3,0.0335,0.002,0.007,723.5,86,0.2,91,2.7,0
08.04.2021 05:20,0.3,0.0346,0.002,0.008,723.5,86,0.3,0,2.7,0
08.04.2021 06:00,0.3,0.0305,0.003,0.007,723.4,86.2,0.4,0,2.7,0
08.04.2021 06:40,0.3,0.0319,0.003,0.006,723.2,87,0.6,56,2.7,0
08.04.2021 04:20,0.3,0.0261,0.001,0.007,724,85.1,0.5,0,2.8,0
08.04.2021 06:20,0.3,0.0286,0.004,0.007,723.3,87,0.5,56,2.7,0
08.04.2021 04:40,0.3,0.0296,0.001,0.006,723.8,85.9,0.4,135,2.8,0
08.04.2021 05:00,0.3,0.0349,0.002,0.008,723.6,86,0.5,159,2.8,0
08.04.2021 10:20,0.3,0.0328,0.014,0.002,723.7,86.6,2.1,270,0.4,0.6
08.04.2021 11:00,0.2,0.0229,0.006,0.007,724.4,86.1,3.3,260,0.2,0.4
08.04.2021 07:40,0.3,0.0407,0.009,0.001,723.1,86,0.5,0,2.5,0.4
08.04.2021 10:00,0.3,0.0365,0.017,0.004,723.4,86,1.7,243,0.5,0.6
08.04.2021 09:00,0.5,0.049,0.015,0.004,722.9,85,0,0,1.3,0.8
08.04.2021 10:40,0.4,0.0249,0.009,0.005,724,86.8,2.7,287,0.3,0.2
08.04.2021 09:40,0.4,0.0524,0.028,0.007,723,85,1.3,285,0.9,0.4
08.04.2021 09:20,0.5,0.0593,0.038,0.005,722.9,85.3,0.4,283,1.2,0.6
08.04.2021 08:00,0.4,0.0403,0.006,0.002,723.1,85.6,0.2,0,2.3,0.6
08.04.2021 08:40,0.5,0.0453,0.016,0.002,722.9,84.9,0.3,0,1.6,0.6
08.04.2021 08:20,0.4,0.0441,0.015,0.003,722.9,85,0.3,0,2.2,0.8
09.04.2021 11:40,,,,,744.4,65,1.1,266,4.5,0
09.04.2021 10:40,,,,,744.2,73.4,1,0,2.5,0
09.04.2021 11:20,,,,,744.4,67.7,1.2,263,3.8,0
09.04.2021 11:00,,,,,744.3,70.3,1.3,293,3.4,0
09.04.2021 12:20,,,,,744.5,56.7,1.6,273,5.7,0
09.04.2021 10:20,,,,,744,74.8,0.9,280,2.2,0
09.04.2021 12:00,,,,,744.4,61.3,1.3,329,5.2,0
09.04.2021 12:40,,,,,744.7,54.6,1.1,40,5.6,0
09.04.2021 13:20,,,,,744.9,46.9,1.3,166,6.4,0
09.04.2021 06:40,,,,,741.4,80,0.8,330,0.5,0
09.04.2021 13:00,,,,,744.8,48.6,1.4,268,6,0
09.04.2021 06:20,,,,,741.1,80,0.9,0,0.6,0
09.04.2021 09:40,,,,,743.5,76.5,1,287,1.9,0
09.04.2021 10:00,,,,,743.8,75.5,1.2,11,2,0
09.04.2021 14:00,,,,,745.1,39.7,1.3,282,7.2,0
09.04.2021 13:40,,,,,745,41,1.2,320,7,0
09.04.2021 07:00,,,,,741.7,80.9,1,289,0.4,0
09.04.2021 22:00,,,,,746.8,44.2,0.4,73,4.8,0
09.04.2021 21:40,,,,,746.8,44,0.3,72,5,0
09.04.2021 22:40,,,,,746.9,44,0.2,0,4.7,0
09.04.2021 06:00,,,,,740.7,79.2,0.8,274,0.7,0
09.04.2021 09:20,,,,,743.3,77.7,0.7,299,1.6,0
09.04.2021 14:20,,,,,745,38.2,1.4,0,7.2,0
09.04.2021 19:00,,,,,745.9,35.5,0.6,185,6.7,0
09.04.2021 20:20,,,,,746.4,40.8,0.3,0,5.6,0
09.04.2021 23:00,,,,,747,42.9,0.5,77,4.7,0
09.04.2021 23:20,,,,,747,42.1,0.4,167,4.7,0
09.04.2021 04:20,,,,,739.8,80,0.6,295,0.9,0
09.04.2021 09:00,,,,,743.2,78.6,0.9,271,1.4,0
09.04.2021 16:00,,,,,745.2,41.6,1.1,272,7.2,0
09.04.2021 17:20,,,,,745.6,39.5,1.6,284,7.1,0
09.04.2021 20:00,,,,,746.3,39,0.3,0,5.8,0
09.04.2021 04:00,,,,,739.5,81,0.5,280,0.8,0
09.04.2021 14:40,,,,,745.1,41.3,1.5,86,7,0
09.04.2021 18:00,,,,,745.7,35.8,0.7,0,7.1,0
09.04.2021 18:20,,,,,745.8,35.4,0.8,0,7.2,0
09.04.2021 18:40,,,,,745.8,36,0.8,48,7,0
09.04.2021 19:40,,,,,746.2,37.4,0.3,0,6.2,0
09.04.2021 20:40,,,,,746.5,41.8,0.4,68,5.4,0
09.04.2021 21:20,,,,,746.7,44,0.3,0,5,0
09.04.2021 23:40,,,,,747.1,41.8,0.4,143,4.6,0
09.04.2021 07:20,,,,,741.9,81,0.9,0,0.4,0
09.04.2021 16:20,,,,,745.3,40.6,1.4,60,7.1,0
09.04.2021 16:40,,,,,745.4,42.5,1.1,77,7,0
09.04.2021 17:00,,,,,745.4,41.8,1.2,231,7,0
09.04.2021 21:00,,,,,746.6,43,0.4,102,5.2,0
09.04.2021 22:20,,,,,746.9,44.7,0.3,0,4.7,0
09.04.2021 03:40,,,,,739.3,81,0.6,12,0.7,0
09.04.2021 15:40,,,,,745.2,42.7,0.8,291,7.2,0
09.04.2021 17:40,,,,,745.6,40.8,1,310,7,0
09.04.2021 19:20,,,,,746,36.3,0.6,108,6.4,0
09.04.2021 07:40,,,,,742.1,81,1.2,4,0.5,0
09.04.2021 05:40,,,,,740.5,79.4,0.8,0,0.8,0
09.04.2021 15:00,,,,,745.2,43.6,0.9,298,6.8,0
09.04.2021 08:40,,,,,742.9,78.5,1.2,321,1.2,0
09.04.2021 08:00,,,,,742.4,81,1.5,278,0.4,0
09.04.2021 08:20,,,,,742.6,80.5,0.6,117,0.7,0
09.04.2021 15:20,,,,,745.2,40.3,1.5,0,7.1,0
09.04.2021 04:40,,,,,740,80,0.7,301,0.9,0
09.04.2021 02:00,,,,,738.4,81.3,1.4,252,0.4,0
09.04.2021 03:20,,,,,739.2,81,0.8,303,0.7,0
09.04.2021 01:40,,,,,738.4,82,1.3,306,0.5,0
09.04.2021 05:20,,,,,740.3,79.3,0.8,287,0.9,0
09.04.2021 01:20,,,,,738.1,82,1.2,251,0.5,0
09.04.2021 01:00,,,,,738,82,1.1,304,0.5,0
09.04.2021 02:40,,,,,738.8,81,1,0,0.5,0
09.04.2021 05:00,,,,,740.1,79.6,0.6,32,0.9,0
09.04.2021 02:20,,,,,738.5,81,1,279,0.4,0
09.04.2021 03:00,,,,,738.9,81,0.9,291,0.6,0
09.04.2021 00:40,,,,,737.8,81.7,0.9,280,0.6,0
09.04.2021 00:00,,,,,737.4,79.5,1.1,44,1,0
09.04.2021 00:20,,,,,737.5,80.8,0.7,25,0.8,0
11.04.2021 01:00,0.1,0.0308,0.001,0.013,747,38.3,0.7,166,6.4,0
11.04.2021 00:20,0.1,0.0364,0.002,0.013,746.8,36.3,0.9,79,7.1,0
11.04.2021 01:20,0.1,0.0316,0.001,0.014,747,39,0.7,44,6.3,0
11.04.2021 00:00,0.1,0.0289,0.002,0.013,746.8,36,1.1,23,7.1,0
11.04.2021 02:00,0.1,0.0299,0.001,0.015,747.2,40.1,0.8,85,6.1,0
11.04.2021 00:40,0.2,0.0351,0.003,0.013,746.9,37.6,0.8,0,6.7,0
11.04.2021 01:40,0.1,0.0317,0.001,0.015,747.1,39.6,0.8,17,6.2,0
11.04.2021 02:40,0.1,0.0265,0.001,0.015,747.3,41.6,1.2,75,5.8,0
11.04.2021 03:40,0.1,0.0235,0.001,0.017,747.6,43,0.8,288,5.5,0
11.04.2021 02:20,0.1,0.0283,0.001,0.014,747.2,40.7,1.2,0,6,0
11.04.2021 03:20,0.1,0.0245,0.001,0.016,747.5,42.2,1,54,5.6,0
11.04.2021 03:00,0.1,0.0252,0.001,0.016,747.3,42,1.1,55,5.6,0
11.04.2021 04:00,0.1,0.0252,0.001,0.017,747.8,43,0.8,342,5.5,0
11.04.2021 04:20,0.1,0.0259,0.001,0.017,747.9,43,0.9,247,5.5,0
11.04.2021 05:00,0.1,0.0258,0.001,0.017,748,44,0.9,295,5.4,0
11.04.2021 04:40,0.1,0.0278,0.001,0.017,747.9,43.9,0.8,328,5.4,0
11.04.2021 05:20,0.1,0.0285,0.001,0.017,748.1,44.4,0.8,25,5.3,0
11.04.2021 05:40,0.1,0.0289,0.001,0.018,748.2,45,0.6,99,5.2,0
11.04.2021 06:00,0.1,0.0303,0.001,0.017,748.3,45,0.4,0,5.2,0
11.04.2021 06:20,0.1,0.0309,0.002,0.016,748.4,45.1,0.7,95,5.3,0
11.04.2021 06:40,0.1,0.026,0.001,0.016,748.5,44.1,0.7,129,5.7,0
11.04.2021 07:40,0.1,0.0351,0.004,0.017,748.9,40.2,0.8,86,7.3,0
11.04.2021 07:00,0.1,0.0323,0.003,0.016,748.6,43.1,0.4,0,6.1,0
11.04.2021 08:00,0.2,0.0414,0.006,0.017,749.1,39.5,0.6,0,7.8,0
11.04.2021 07:20,0.1,0.0344,0.004,0.018,748.7,41.2,0.6,113,6.8,0
11.04.2021 08:20,0.2,0.0393,0.007,0.017,749.2,38.4,0.9,0,8.2,0
11.04.2021 09:00,0.1,0.034,0.006,0.017,749.4,37.3,1,4,9,0
11.04.2021 10:40,0.2,0.0516,0.016,0.02,750,32.9,0.6,0,11.9,0
11.04.2021 08:40,0.2,0.0352,0.006,0.017,749.4,38,0.9,287,8.5,0
11.04.2021 09:20,0.2,0.0339,0.007,0.017,749.5,36.3,0.6,110,9.7,0
11.04.2021 09:40,0.2,0.0389,0.008,0.017,749.6,35.6,0.7,283,10.1,0
11.04.2021 10:00,0.2,0.0549,0.017,0.019,749.8,34.8,0.6,261,10.7,0
11.04.2021 12:00,0.1,0.0261,0.006,0.013,750.2,27.5,1.2,149,14.2,0
11.04.2021 11:00,0.2,0.0404,0.011,0.02,750.1,31.4,0.9,113,12.7,0
11.04.2021 11:20,0.2,0.033,0.008,0.017,750.2,30,0.9,18,13.4,0
11.04.2021 10:20,0.2,0.0526,0.016,0.02,750,33.9,1,79,11.3,0
11.04.2021 11:40,0.1,0.027,0.009,0.014,750.2,28.3,1.2,0,13.8,0
