Дата и время,CO,NO2,NO,PM10,PM2.5,Давление,Влажность,| V |,_V_,-T-,Осадки
25.07.2021 00:00,0.8,0.0577,0.042,0.037,0.011,749.9,76.9,0,0,15.2,0
25.07.2021 00:20,0.7,0.0559,0.05,0.043,0.011,749.9,78.1,0,0,15.1,0
25.07.2021 00:40,0.7,0.0559,0.044,0.041,0.012,750,78.8,0,0,14.9,0
25.07.2021 01:00,0.8,0.057,0.074,0.037,0.012,750.2,80.4,0,0,14.5,0
25.07.2021 01:20,0.9,0.0571,0.087,0.042,0.012,750.2,82.3,0,0,14.2,0
25.07.2021 01:40,0.9,0.0555,0.081,0.041,0.012,750.3,83,0,0,14.1,0
25.07.2021 02:00,1,0.0561,0.089,0.039,0.013,750.4,84,0,0,13.9,0
25.07.2021 02:20,1,0.0544,0.094,0.041,0.013,750.5,84.8,0,0,13.7,0
25.07.2021 02:40,0.9,0.0533,0.085,0.041,0.013,750.5,85.4,0,0,13.7,0
25.07.2021 03:00,0.9,0.0539,0.09,0.038,0.012,750.5,86.5,0,0,13.6,0
25.07.2021 03:20,0.7,0.0567,0.082,0.03,0.009,750.5,86.4,0,0,13.6,0
25.07.2021 03:40,0.8,0.0597,0.106,0.026,0.008,750.6,85,0,0,13.7,0
25.07.2021 04:00,0.8,0.0599,0.117,0.032,0.009,750.6,83.6,0,0,14.1,0
25.07.2021 04:20,0.8,0.0565,0.119,0.048,0.01,750.7,83.3,0,0,14.8,0
25.07.2021 04:40,0.8,0.0552,0.11,0.043,0.009,750.7,81.7,0,0,15.1,0
25.07.2021 05:00,0.7,0.0517,0.101,0.04,0.01,750.7,82,0,0,15.2,0
25.07.2021 05:20,0.7,0.0517,0.111,0.036,0.01,750.8,82.3,0,0,15.2,0
25.07.2021 05:40,0.7,0.0528,0.102,0.038,0.011,750.9,82.4,0.1,0,15.4,0
25.07.2021 06:00,0.7,0.0538,0.101,0.031,0.011,751.1,79.9,0.2,0,15.6,0
25.07.2021 06:20,0.7,0.0585,0.112,0.029,0.01,751.2,77.6,0.1,0,16,0
25.07.2021 06:40,0.5,0.0615,0.081,0.03,0.01,751.3,72.7,0.2,0,16.4,0
25.07.2021 07:00,0.4,0.0639,0.047,0.015,0.008,751.4,66.8,0.3,255,16.9,0
25.07.2021 07:20,0.4,0.0621,0.043,0.029,0.008,751.4,64.9,0.2,0,17.5,0
25.07.2021 07:40,0.3,0.0596,0.036,0.031,0.008,751.5,62.8,0.5,301,17.8,0
25.07.2021 08:00,0.3,0.0543,0.028,0.024,0.008,751.6,60.4,1.1,214,18.1,0
25.07.2021 08:20,0.2,0.0431,0.015,0.02,0.007,751.7,58.2,1.1,0,18.3,0
25.07.2021 08:40,0.1,0.0366,0.012,0.016,0.006,751.6,57.4,0.9,287,18.6,0
25.07.2021 09:00,0.2,0.0403,0.019,0.026,0.006,751.7,57.4,1,209,18.9,0
25.07.2021 09:20,0.1,0.0292,0.01,0.019,0.007,751.8,55.2,1.2,303,19.2,0
25.07.2021 09:40,0.1,0.0212,0.006,0.015,0.006,751.8,51.6,1.5,168,20.1,0
25.07.2021 10:00,0.1,0.02,0.006,0.015,0.005,751.8,51.2,1.7,253,20.1,0
25.07.2021 10:20,0.1,0.0188,0.005,0.012,0.004,751.9,50.1,1.6,185,20.3,0
25.07.2021 10:40,0.1,0.0162,0.005,0.012,0.005,752,49.9,1.6,141,20.5,0
25.07.2021 11:00,0,0.0134,0.004,0.014,0.006,751.9,48.1,1.3,148,21.3,0
25.07.2021 11:20,0,0.0122,0.002,0.011,0.003,751.9,46,0.8,305,21.6,0
25.07.2021 11:40,0.1,0.023,0.007,0.016,0.003,751.9,48.3,1.3,354,21.2,0
25.07.2021 12:00,0.1,0.0179,0.005,0.018,0.005,751.9,48.3,1,192,21.1,0
25.07.2021 12:20,0,0.0142,0.003,0.008,0.004,752,47.4,1.1,195,21.2,0
25.07.2021 12:40,0.1,0.0167,0.005,0.01,0.005,752.1,47.3,0.8,199,21.3,0
25.07.2021 13:00,0.1,0.0206,0.007,0.012,0.004,752.1,46.9,0.8,324,21.6,0
25.07.2021 13:20,0.1,0.025,0.008,0.017,0.005,752.2,48.6,1.2,350,21.2,0
25.07.2021 13:40,0.1,0.0334,0.014,0.023,0.006,752.3,51.3,0.8,326,20.9,0
25.07.2021 14:00,0.2,0.027,0.012,0.018,0.006,752.4,50.9,0.7,345,20.9,0
25.07.2021 14:20,0.1,0.0187,0.008,0.013,0.006,752.3,48.4,0.9,332,21.7,0
25.07.2021 14:40,0.1,0.0173,0.007,0.007,0.004,752.3,46.7,0.9,8,21.8,0
25.07.2021 15:00,0.1,0.0177,0.008,0.011,0.004,752.2,46.4,0.8,0,22.1,0
25.07.2021 15:20,0.1,0.0138,0.004,0.012,0.004,752.2,44.6,0.8,337,22.9,0
25.07.2021 15:40,0.1,0.0209,0.005,0.013,0.004,752.2,45.2,0.8,18,22.6,0
25.07.2021 16:00,0.1,0.0193,0.006,0.016,0.004,752.1,45,1.2,157,22.7,0
25.07.2021 16:20,0.1,0.0135,0.004,0.011,0.004,752.1,43.2,1.1,276,23,0
25.07.2021 16:40,0.1,0.0109,0.002,0.01,0.004,752,42.4,1.1,265,23,0
25.07.2021 17:00,0.1,0.0239,0.008,0.011,0.004,752,42.4,1.2,290,22.9,0
25.07.2021 17:20,0.2,0.0257,0.006,0.019,0.004,752.1,45.1,0.9,326,22.7,0
25.07.2021 17:40,0.1,0.0192,0.005,0.02,0.005,752,44.4,1,245,22.8,0
25.07.2021 18:00,0.1,0.0152,0.003,0.013,0.004,752,44.4,0.7,340,22.8,0
25.07.2021 18:20,0.2,0.0289,0.009,0.026,0.006,752,47.2,0.6,343,22.6,0
25.07.2021 18:40,0.3,0.0401,0.011,0.035,0.01,752,49.9,0.4,330,22.6,0
25.07.2021 19:00,0.4,0.0451,0.012,0.062,0.021,752.1,53.8,0.2,0,22.2,0
25.07.2021 19:20,0.2,0.0347,0.007,0.022,0.016,752.1,46.3,0.4,321,23,0
25.07.2021 19:40,0.2,0.0368,0.006,0.012,0.008,752,44.9,0.3,0,23.4,0
25.07.2021 20:00,0.2,0.0362,0.002,0.022,0.007,752,46.9,0.1,0,23,0
25.07.2021 20:20,0.5,0.0704,0.026,0.043,0.01,752,55.3,0.1,316,22,0
25.07.2021 20:40,0.6,0.0719,0.027,0.058,0.014,752.1,61.2,0.1,0,20.8,0
25.07.2021 21:00,0.8,0.0782,0.035,0.049,0.015,752.3,62.7,0.1,0,20,0
25.07.2021 21:20,0.7,0.0839,0.028,0.045,0.017,752.4,63.4,0,0,19.3,0
25.07.2021 21:40,0.7,0.0864,0.046,0.048,0.017,752.4,65.5,0,0,18.6,0
25.07.2021 22:00,0.7,0.0834,0.048,0.051,0.015,752.5,68.2,0,0,18,0
25.07.2021 22:20,0.8,0.083,0.055,0.06,0.015,752.5,69.9,0,0,17.6,0
25.07.2021 22:40,0.8,0.0809,0.074,0.055,0.013,752.6,71.7,0,0,17.2,0
25.07.2021 23:00,0.9,0.0819,0.079,0.058,0.014,752.7,73,0,0,17.1,0
25.07.2021 23:20,0.9,0.0843,0.071,0.055,0.013,752.8,73.2,0,0,17.1,0
25.07.2021 23:40,1.3,0.0774,0.061,0.058,0.016,752.9,73.7,0.1,0,17,0
26.07.2021 00:00,1.1,0.0758,0.062,0.064,0.02,753,74.8,0,0,16.8,0
26.07.2021 00:20,0.9,0.0746,0.072,0.056,0.016,753.1,76,0,0,16.7,0
26.07.2021 00:40,1,0.0746,0.072,0.043,0.011,753.1,76,0,0,16.6,0
26.07.2021 01:00,0.9,0.0729,0.047,0.038,0.012,753.1,76.9,0,0,16.4,0
26.07.2021 01:20,0.8,0.0708,0.056,0.044,0.015,753.1,78,0,0,16.2,0
26.07.2021 01:40,0.7,0.0704,0.055,0.044,0.016,753.2,79.7,0,0,15.8,0
26.07.2021 02:00,0.7,0.0689,0.05,0.045,0.016,753.2,81.7,0,0,15.6,0
26.07.2021 02:20,0.6,0.0674,0.053,0.044,0.015,753.2,82.5,0,0,15.7,0
26.07.2021 02:40,0.5,0.0656,0.029,0.035,0.014,753.3,80.7,0,0,15.9,0
26.07.2021 03:00,0.6,0.0651,0.035,0.03,0.014,753.3,80,0,0,15.8,0
26.07.2021 03:20,0.5,0.0619,0.023,0.03,0.013,753.4,80.4,0,0,15.6,0
26.07.2021 03:40,0.4,0.0632,0.02,0.022,0.01,753.4,81.7,0,0,15.3,0
26.07.2021 04:00,0.3,0.0633,0.021,0.02,0.009,753.4,82.7,0,0,15.1,0
26.07.2021 04:20,0.2,0.0619,0.018,0.018,0.009,753.5,82.4,0,0,14.9,0
26.07.2021 04:40,0.2,0.0636,0.016,0.019,0.009,753.5,83.2,0,0,14.8,0
26.07.2021 05:00,0.2,0.062,0.015,0.015,0.009,753.6,84.2,0,0,14.6,0
26.07.2021 05:20,0.3,0.0596,0.023,0.024,0.009,753.6,85,0,0,14.7,0
26.07.2021 05:40,0.5,0.0618,0.065,0.033,0.011,753.7,85.5,0,0,15.2,0
26.07.2021 06:00,0.5,0.0589,0.078,0.044,0.013,753.8,82.1,0,0,16.4,0
26.07.2021 06:20,0.4,0.0561,0.066,0.043,0.013,753.8,77.7,0,0,17.5,0
26.07.2021 06:40,0.2,0.0582,0.033,0.017,0.01,753.8,67.3,0.2,0,18.6,0
26.07.2021 07:00,0.1,0.0502,0.016,0.013,0.007,753.9,62.6,0.3,199,19.4,0
26.07.2021 07:20,0.1,0.0422,0.013,0.021,0.006,753.8,59.7,0.7,243,20,0
26.07.2021 07:40,0.1,0.0369,0.009,0.02,0.006,753.8,57.9,0.8,193,20.4,0
26.07.2021 08:00,0,0.0281,0.007,0.016,0.005,753.8,56.3,1.2,191,20.7,0
26.07.2021 08:20,0.1,0.0278,0.009,0.011,0.004,753.7,54.9,1.4,255,20.9,0
26.07.2021 08:40,0.1,0.0304,0.01,0.015,0.004,753.7,53.9,1.1,208,21.5,0
26.07.2021 09:00,0.1,0.0293,0.01,0.017,0.004,753.7,52.3,1.5,160,21.9,0
26.07.2021 09:20,0,0.0232,0.006,0.015,0.003,753.6,51.1,1.4,166,22.3,0
26.07.2021 09:40,0,0.0235,0.011,0.017,0.005,753.6,49.4,1.6,283,22.9,0
26.07.2021 10:00,0.1,0.0202,0.009,0.015,0.005,753.6,48.5,1.5,187,23.3,0
26.07.2021 10:20,0,0.0117,0.005,0.016,0.006,753.6,47.5,1.6,181,23.8,0
26.07.2021 10:40,0,0.0143,0.006,0.008,0.005,753.6,45.4,1.7,245,23.9,0
26.07.2021 11:00,0,0.0169,0.007,0.019,0.004,753.6,44.7,1.8,218,24,0
26.07.2021 11:20,0.1,0.0181,0.008,0.014,0.005,753.6,43.5,2.1,315,24.2,0
26.07.2021 11:40,0,0.0197,0.006,0.021,0.004,753.6,43.3,1.9,309,24.4,0
26.07.2021 12:00,0,0.0124,0.002,0.008,0.001,753.6,41.4,1.4,245,24.3,0
26.07.2021 12:20,0.1,0.0248,0.007,0.018,0.003,753.5,43.4,1.5,231,24.4,0
26.07.2021 12:40,0.1,0.0296,0.009,0.022,0.006,753.5,43.6,1.9,276,24.4,0
26.07.2021 13:00,0.1,0.0247,0.009,0.015,0.005,753.4,43.3,1.7,183,24.5,0
26.07.2021 13:20,0,0.0151,0.004,0.02,0.005,753.4,43,1.4,0,24.6,0
26.07.2021 13:40,0.1,0.0216,0.007,0.015,0.004,753.4,41.5,1.9,281,24.7,0
26.07.2021 14:00,0,0.0128,0.003,0.014,0.004,753.2,40.9,1.1,160,25,0
26.07.2021 14:20,0.1,0.0187,0.005,0.022,0.004,753.1,40.7,1.3,78,25.5,0
26.07.2021 14:40,0,0.0135,0.003,0.012,0.005,753,38.9,1.4,206,25.8,0
26.07.2021 15:00,0.1,0.0139,0.003,0.01,0.004,753,38.9,1.2,289,25.5,0
26.07.2021 15:20,0.1,0.0152,0.003,0.012,0.004,752.9,38.6,1.2,226,25.8,0
26.07.2021 15:40,0,0.0121,0.002,0.018,0.005,752.8,38.9,1.3,237,26.1,0
26.07.2021 16:00,0.1,0.0247,0.006,0.021,0.004,752.7,39.6,1.3,222,25.8,0
26.07.2021 16:20,0.1,0.0183,0.005,0.023,0.005,752.7,40,1.1,345,25.9,0
26.07.2021 16:40,0.1,0.0173,0.004,0.021,0.005,752.5,40.5,1.5,14,25.9,0
