Дата и время,CO,NO2,NO,PM10,PM2.5,Давление,Влажность,| V |,_V_,-T-,Осадки
26.07.2021 17:00,0.1,0.0244,0.011,0.023,0.006,752.4,41.1,1.8,322,26.1,0
26.07.2021 17:20,0.1,0.025,0.007,0.021,0.006,752.4,41.3,1,0,25.9,0
26.07.2021 17:40,0.1,0.028,0.006,0.021,0.005,752.3,40.3,0.8,320,26.4,0
26.07.2021 18:00,0.2,0.0432,0.017,0.029,0.007,752.2,42.6,1.1,270,26.1,0
26.07.2021 18:20,0.1,0.03,0.004,0.018,0.006,752.1,40.2,0.9,0,26.3,0
26.07.2021 18:40,0.2,0.054,0.018,0.031,0.006,752.1,43.8,1.1,320,25.9,0
26.07.2021 19:00,0.3,0.0586,0.015,0.032,0.007,752.1,45.6,0.7,339,25.3,0
26.07.2021 19:20,0.4,0.0727,0.027,0.03,0.006,752.1,45.9,0.8,354,25.3,0
26.07.2021 19:40,0.4,0.0644,0.02,0.035,0.007,752.1,47.5,0.5,337,25.1,0
26.07.2021 20:00,0.4,0.0693,0.023,0.037,0.008,752.1,49.8,0.4,328,24.6,0
26.07.2021 20:20,0.3,0.0592,0.013,0.044,0.009,752.1,52.4,0.3,327,24.1,0
26.07.2021 20:40,0.5,0.0696,0.021,0.05,0.012,752.1,55.7,0.1,0,23.6,0
26.07.2021 21:00,0.5,0.0755,0.018,0.059,0.019,752.2,58.9,0,0,22.8,0
26.07.2021 21:20,0.6,0.0899,0.022,0.058,0.019,752.3,60.6,0,0,22,0
26.07.2021 21:40,0.7,0.0883,0.035,0.061,0.021,752.3,63.4,0,0,21.4,0
26.07.2021 22:00,0.7,0.0844,0.041,0.067,0.019,752.3,65.3,0,0,20.9,0
26.07.2021 22:20,0.7,0.0847,0.041,0.061,0.017,752.4,67.6,0,0,20.4,0
26.07.2021 22:40,0.8,0.0832,0.045,0.064,0.021,752.4,68.3,0,0,20.3,0
26.07.2021 23:00,0.5,0.081,0.023,0.057,0.021,752.4,69,0,0,20,0
26.07.2021 23:20,0.6,0.0783,0.043,0.055,0.015,752.5,71,0,0,19.6,0
26.07.2021 23:40,0.6,0.0761,0.044,0.063,0.014,752.5,72,0,0,19.5,0
27.07.2021 0:00,,,,,,752.6,73.2,0,0,19.2,0
27.07.2021 0:20,,,,,,752.7,74,0,0,18.8,0
27.07.2021 0:40,,,,,,752.6,75.2,0,0,18.4,0
27.07.2021 1:00,,,,,,752.6,76.7,0,0,18.2,0
27.07.2021 1:20,,,,,,752.7,77.1,0,0,17.9,0
27.07.2021 1:40,,,,,,752.8,77.9,0,0,17.7,0
27.07.2021 2:00,,,,,,752.8,79.1,0,0,17.3,0
27.07.2021 2:20,,,,,,752.8,81.7,0,0,17,0
27.07.2021 2:40,,,,,,752.9,82.3,0,0,16.9,0
27.07.2021 3:00,,,,,,752.9,82.5,0,0,16.8,0
27.07.2021 3:20,,,,,,752.9,83.2,0,0,16.6,0
27.07.2021 3:40,,,,,,752.9,84.2,0,0,16.4,0
27.07.2021 4:00,,,,,,752.9,84.8,0,0,16.2,0
27.07.2021 4:20,,,,,,752.8,86.1,0,0,15.9,0
27.07.2021 4:40,,,,,,752.8,87,0,0,15.8,0
27.07.2021 5:00,,,,,,752.8,87,0,0,15.8,0
27.07.2021 5:20,,,,,,752.8,88,0,0,15.8,0
27.07.2021 5:40,,,,,,752.8,88.4,0,0,16.1,0
27.07.2021 6:00,,,,,,752.9,86,0,0,17.1,0
27.07.2021 6:20,,,,,,752.9,83.4,0,0,18.2,0
27.07.2021 6:40,,,,,,752.8,80.1,0,0,19.5,0
27.07.2021 7:00,,,,,,752.8,74.8,0,0,20.7,0
27.07.2021 7:20,,,,,,752.7,66,0,0,21.9,0
27.07.2021 7:40,,,,,,752.7,63.2,0.3,354,22.4,0
27.07.2021 8:00,,,,,,752.6,58.4,0.3,307,23.1,0
27.07.2021 8:20,,,,,,752.5,53.5,0.6,335,23.5,0
27.07.2021 8:40,,,,,,752.5,52.2,0.7,230,23.9,0
27.07.2021 9:00,,,,,,752.5,52.1,0.9,313,24,0
27.07.2021 9:20,,,,,,752.5,49.1,1,56,24.2,0
27.07.2021 9:40,,,,,,752.5,45.5,1.2,296,24.7,0
27.07.2021 10:00,,,,,,752.5,43.3,0.9,0,24.8,0
27.07.2021 10:20,,,,,,752.4,42.2,0.8,314,25.3,0
27.07.2021 10:40,,,,,,752.4,41,1,296,25.3,0
27.07.2021 11:00,,,,,,752.3,40.4,1.1,20,25.4,0
27.07.2021 11:20,,,,,,752.3,39.3,0.7,0,25.8,0
27.07.2021 11:40,,,,,,752.2,39.7,0.9,329,26.1,0
27.07.2021 12:00,,,,,,752.1,38.5,1,354,26.5,0
27.07.2021 12:20,,,,,,752.1,38.7,1.2,156,26.5,0
27.07.2021 12:40,,,,,,752.1,38.8,1.2,156,26.6,0
27.07.2021 13:00,,,,,,751.9,38.1,1.3,280,26.8,0
27.07.2021 13:20,,,,,,751.7,36.2,1.2,253,27.1,0
27.07.2021 13:40,,,,,,751.6,35.6,0.9,268,27,0
27.07.2021 14:00,,,,,,751.5,35,0.9,22,27.3,0
27.07.2021 14:20,,,,,,751.3,34.1,0.9,218,27.8,0
27.07.2021 14:40,,,,,,751.2,34.6,1.3,325,28,0
27.07.2021 15:00,,,,,,751,35.7,1.7,281,28,0
27.07.2021 15:20,,,,,,750.9,35.2,1.3,336,27.9,0
27.07.2021 15:40,,,,,,750.7,35.1,0.9,293,28.3,0
27.07.2021 16:00,,,,,,750.5,33.8,1.2,114,28.7,0
27.07.2021 16:20,,,,,,750.4,33.3,0.9,258,28.8,0
27.07.2021 16:40,,,,,,750.2,33.6,1.1,325,28.4,0
27.07.2021 17:00,,,,,,750.2,33.1,1.1,241,28.5,0
27.07.2021 17:20,,,,,,750.1,33.9,0.6,172,28.1,0
27.07.2021 17:40,,,,,,750,31.8,0.5,318,29.1,0
27.07.2021 18:00,,,,,,749.8,32.5,1.1,208,28.9,0
27.07.2021 18:20,,,,,,749.9,32.8,1.1,294,28.8,0
27.07.2021 18:40,,,,,,749.9,32.9,0.9,232,28.6,0
27.07.2021 19:00,,,,,,749.9,33,0.5,199,28.8,0
27.07.2021 19:20,,,,,,749.7,33.4,0.7,314,28.4,0
27.07.2021 19:40,,,,,,749.8,39.9,0.5,334,28.1,0
27.07.2021 20:00,,,,,,749.8,42.9,0.5,21,26.9,0
27.07.2021 20:20,,,,,,749.9,45.6,0.2,0,26.3,0
27.07.2021 20:40,,,,,,750,49.7,0.3,339,25.3,0
27.07.2021 21:00,,,,,,750,53.4,0.1,0,24.3,0
27.07.2021 21:20,,,,,,749.9,56.7,0.1,0,23.4,0
27.07.2021 21:40,,,,,,749.8,58.3,0.1,0,22.7,0
27.07.2021 22:00,,,,,,749.8,60.9,0,0,22.3,0
27.07.2021 22:20,,,,,,749.8,62.5,0,0,21.9,0
27.07.2021 22:40,,,,,,749.8,63,0,0,21.8,0
27.07.2021 23:00,,,,,,749.7,63.8,0,0,21.4,0
27.07.2021 23:20,,,,,,749.8,65.4,0,0,20.8,0
27.07.2021 23:40,,,,,,749.9,67.9,0,0,20.5,0
11.04.2021 00:00,0.3,0.0536,0,0.041,0.013,753.9,38,1.7,172,8.5,0
11.04.2021 00:20,0.3,0.0547,0,0.04,0.013,754.1,39,1.6,155,8.3,0
11.04.2021 00:40,0.3,0.0663,0,0.039,0.014,754.1,39.8,0.8,218,8,0
11.04.2021 01:00,0.3,0.0599,0,0.038,0.014,754.2,41,1.7,169,7.8,0
11.04.2021 01:20,0.3,0.0501,0,0.036,0.014,754.2,41.5,2,191,7.7,0
11.04.2021 01:40,0.2,0.0497,0,0.033,0.014,754.3,42.4,2.1,185,7.5,0
11.04.2021 02:00,0.2,0.0489,0,0.031,0.014,754.4,43.4,1.7,167,7.3,0
11.04.2021 02:20,0.2,0.044,0,0.031,0.014,754.5,44,1.8,217,7.1,0
11.04.2021 02:40,0.2,0.0518,0,0.03,0.014,754.5,45.1,1.5,187,6.8,0
11.04.2021 03:00,0.2,0.0537,0,0.029,0.014,754.6,45.9,1.1,204,6.7,0
11.04.2021 03:20,0.2,0.0573,0,0.03,0.015,754.8,46,1.2,216,6.5,0
11.04.2021 03:40,0.2,0.0574,0,0.033,0.016,754.9,46.8,1.1,195,6.4,0
11.04.2021 04:00,0.3,0.055,0,0.031,0.016,754.9,47,1.1,180,6.4,0
11.04.2021 04:20,0.3,0.0642,0,0.031,0.016,755.1,47.5,1.1,209,6.3,0
11.04.2021 04:40,0.3,0.0757,0.002,0.035,0.017,755.1,47.7,1.3,176,6.3,0
11.04.2021 05:00,0.3,0.0711,0.001,0.037,0.018,755.2,48,1.5,164,6.3,0
11.04.2021 05:20,0.2,0.0536,0,0.033,0.017,755.3,48.5,1,172,6.2,0
11.04.2021 05:40,0.2,0.0538,0,0.033,0.017,755.4,49,1.1,182,6,0
11.04.2021 06:00,0.3,0.0658,0.002,0.036,0.018,755.5,49.1,0.9,154,6.1,0
11.04.2021 06:20,0.3,0.0857,0.011,0.042,0.021,755.6,50,0.8,158,5.9,0
11.04.2021 06:40,0.3,0.0757,0.008,0.046,0.021,755.7,49.5,0.9,162,6.2,0
11.04.2021 07:00,0.3,0.0587,0.006,0.045,0.019,755.9,48.1,1,171,6.6,0
11.04.2021 07:20,0.3,0.0554,0.007,0.044,0.019,756.1,47.3,1.8,179,7.1,0
11.04.2021 07:40,0.2,0.0496,0.007,0.04,0.018,756.2,46.5,1.8,230,7.4,0
11.04.2021 08:00,0.2,0.0481,0.008,0.039,0.017,756.4,45.8,2.1,181,7.7,0
11.04.2021 08:20,0.3,0.0464,0.009,0.039,0.016,756.5,45.6,2.1,206,7.9,0
11.04.2021 08:40,0.3,0.0476,0.01,0.039,0.018,756.6,44.9,1.6,160,8.3,0
11.04.2021 09:00,0.3,0.0448,0.01,0.04,0.018,756.7,44.4,1.8,172,8.6,0
11.04.2021 09:20,0.3,0.0421,0.009,0.038,0.016,756.7,44,1.6,185,8.9,0
11.04.2021 09:40,0.3,0.0452,0.011,0.04,0.018,756.9,43,1.3,209,9.5,0
11.04.2021 10:00,0.3,0.0534,0.016,0.045,0.019,757.1,41.9,1.5,183,10.1,0
11.04.2021 10:20,0.3,0.0609,0.02,0.052,0.02,757.1,40.7,1.6,217,10.8,0
11.04.2021 10:40,0.3,0.0553,0.017,0.058,0.02,757.3,40.1,1.3,158,11.4,0
11.04.2021 11:00,0.3,0.0551,0.017,0.057,0.019,757.3,38.3,1.9,149,12.1,0
11.04.2021 11:20,0.3,0.06,0.02,0.055,0.018,757.4,37.1,1.8,224,12.6,0
11.04.2021 11:40,0.3,0.0522,0.015,0.054,0.017,757.4,35.7,2.4,206,13.2,0
11.04.2021 12:00,0.3,0.05,0.014,0.052,0.016,757.4,34.7,2.2,131,13.8,0
11.04.2021 12:20,0.2,0.0414,0.01,0.056,0.016,757.4,33.9,2.7,213,14.2,0
11.04.2021 12:40,0.2,0.0325,0.006,0.048,0.014,757.3,33.6,2,211,14.4,0
11.04.2021 13:00,0.2,0.0246,0.004,0.04,0.013,757.4,32.6,2.1,195,14.9,0
11.04.2021 13:20,0.2,0.0191,0.003,0.035,0.013,757.5,32.4,2.7,191,15.2,0
11.04.2021 13:40,0.2,0.0139,0.002,0.033,0.011,757.5,31.4,2.3,180,15.4,0
11.04.2021 14:00,0.2,0.0141,0.002,0.031,0.013,757.5,31.3,1.7,216,15.8,0
11.04.2021 14:20,0.2,0.0139,0.002,0.031,0.014,757.6,30.6,2.1,162,16.1,0
11.04.2021 14:40,0.2,0.0155,0.002,0.031,0.013,757.5,30.7,2.3,185,16.2,0
11.04.2021 15:00,0.2,0.0174,0.003,0.032,0.013,757.5,30.6,1.6,312,16.4,0
11.04.2021 15:20,0.2,0.0185,0.002,0.037,0.013,757.6,30.1,1.5,212,16.6,0
11.04.2021 15:40,0.2,0.0174,0.002,0.035,0.014,757.5,30.5,1.9,237,16.6,0
11.04.2021 16:00,0.2,0.0146,0.001,0.036,0.015,757.5,30.2,1.9,251,16.9,0
11.04.2021 16:20,0.2,0.0144,0.001,0.035,0.014,757.5,29.9,2,162,17,0
11.04.2021 16:40,0.2,0.0143,0.001,0.033,0.013,757.6,30.1,1.6,183,16.9,0
11.04.2021 17:00,0.2,0.0157,0.001,0.031,0.014,757.7,29.8,1.3,143,17,0
11.04.2021 17:20,0.2,0.0183,0.001,0.03,0.014,757.7,29.6,0.8,234,17.2,0
11.04.2021 17:40,0.2,0.0224,0.002,0.033,0.014,757.8,29.5,1.5,279,17.1,0
11.04.2021 18:00,0.3,0.0491,0.007,0.051,0.016,757.9,30,0.6,204,17.1,0
11.04.2021 18:20,0.2,0.0201,0,0.053,0.016,757.9,30.2,0.5,210,17,0
11.04.2021 18:40,0.2,0.021,0,0.038,0.014,757.9,30,0.3,0,16.8,0
11.04.2021 19:00,0.2,0.0493,0.006,0.055,0.016,758,31.2,0.3,195,16.4,0
11.04.2021 19:20,0.3,0.0678,0.002,0.071,0.018,758.1,32.5,0.2,0,15.8,0
11.04.2021 19:40,0.4,0.111,0.005,0.102,0.023,758.3,34.7,0.1,0,15.1,0
11.04.2021 20:00,0.4,0.1076,0.031,0.135,0.027,758.4,36.3,0,235,14.4,0
11.04.2021 20:20,0.5,0.1217,0.002,0.158,0.025,758.6,37.7,0,0,13.6,0
11.04.2021 20:40,0.6,0.137,0.017,0.116,0.026,758.7,39.4,0,0,12.9,0
11.04.2021 21:00,0.9,0.1385,0.088,0.141,0.031,758.9,41.9,0,0,12.4,0
11.04.2021 21:20,0.8,0.1397,0.064,0.214,0.036,759,42.2,0,0,11.9,0
11.04.2021 21:40,0.7,0.136,0.037,0.174,0.031,759.1,42.9,0,0,11.6,0
11.04.2021 22:00,0.7,0.1329,0.055,0.136,0.028,759.2,44.2,0.1,0,11.4,0
11.04.2021 22:20,0.9,0.1371,0.099,0.166,0.031,759.3,45.7,0,0,11,0
11.04.2021 22:40,0.8,0.1338,0.066,0.15,0.031,759.3,47,0.2,147,10.7,0
11.04.2021 23:00,0.7,0.1318,0.052,0.118,0.03,759.4,43.5,0.1,0,12,0
11.04.2021 23:20,0.6,0.1297,0.032,0.103,0.03,759.5,43.1,0.2,202,11.9,0
11.04.2021 23:40,0.6,0.1301,0.024,0.093,0.029,759.6,43.2,0.2,0,11.7,0
12.04.2021 00:00,0.6,0.1276,0.035,0.094,0.03,759.7,45.6,0.1,208,10.9,0
12.04.2021 00:20,0.7,0.1333,0.075,0.098,0.031,759.9,46.1,0.2,0,10.7,0
12.04.2021 00:40,1.1,0.131,0.201,0.148,0.036,760,49.4,0.1,0,9.9,0
12.04.2021 01:00,1.1,0.1294,0.125,0.168,0.037,760.1,51.8,0,0,8.8,0
12.04.2021 01:20,1.3,0.1275,0.193,0.172,0.037,760.2,56.3,0,0,7.9,0
12.04.2021 01:40,1.1,0.1291,0.189,0.199,0.038,760.2,57.7,0,0,7.5,0
12.04.2021 02:00,1,0.1239,0.114,0.163,0.035,760.2,58.1,0,0,7,0
12.04.2021 02:20,0.8,0.1191,0.11,0.244,0.038,760.3,59.6,0,0,6.6,0
12.04.2021 02:40,0.8,0.1226,0.104,0.201,0.036,760.4,60.1,0,0,6.4,0
12.04.2021 03:00,0.9,0.1212,0.111,0.146,0.034,760.4,62,0,0,6,0
