Дата и время,CO,NO2,NO,PM10,Давление,Влажность,| V |,_V_,-T-,Осадки
13.01.2021 22:00,0.2,0.0333,0.002,0.012,750.6,74.6,1.2,62,-11.9,0
13.01.2021 22:20,0.1,0.0328,0.002,0.011,750.2,73.9,1.3,60,-11.9,0
13.01.2021 22:40,0.1,0.0322,0.001,0.011,750.1,73.1,1.4,90,-11.8,0
13.01.2021 23:00,0.2,0.0337,0.001,0.011,749.8,73.5,1.2,57,-11.7,0
13.01.2021 23:20,0.2,0.0289,0.001,0.012,749.6,74.9,1.3,66,-11.9,0
13.01.2021 23:40,0.2,0.0288,0.001,0.014,749.3,76.7,1.5,77,-11.9,0
14.01.2021 00:00,0.2,0.0301,0.001,0.013,748.9,78,0.9,50,-11.9,0
14.01.2021 00:20,0.2,0.032,0.001,0.013,748.5,78.6,1.3,68,-11.7,0
14.01.2021 00:40,0.2,0.0341,0.001,0.016,748.1,78,1.4,0,-11.9,0
14.01.2021 01:00,0.2,0.0328,0.001,0.015,747.6,78.4,0.9,0,-12.1,0
14.01.2021 01:20,0.2,0.029,0.001,0.015,747.6,79,0.8,34,-12,0.3
14.01.2021 01:40,0.2,0.0247,0.001,0.02,747.3,79,1,0,-11.7,0.3
14.01.2021 02:00,0.2,0.0257,0.001,0.018,747.1,78.2,1.2,48,-11.7,0.3
14.01.2021 02:20,0.2,0.0245,0,0.018,746.9,78,1.3,83,-11.7,0.3
14.01.2021 02:40,0.2,0.0249,0.001,0.017,746.6,78.9,0.5,99,-11.7,0.3
14.01.2021 03:00,0.2,0.022,0.001,0.015,746.3,79,1,62,-11.6,0.6
14.01.2021 03:20,0.2,0.0184,0,0.016,746,79,1.2,70,-11.7,0.3
14.01.2021 03:40,0.2,0.0192,0,0.012,745.6,78.1,0.9,92,-11.9,0.3
14.01.2021 04:00,0.2,0.0206,0,0.013,745.4,77.8,1.2,0,-12,0
14.01.2021 04:20,0.2,0.0205,0,0.022,745.3,78,1.1,0,-12.2,0.3
14.01.2021 04:40,0.2,0.0216,0,0.026,745.3,78,1.5,85,-12.4,0
14.01.2021 05:00,0.2,0.0235,0,0.018,745.1,78,0.8,99,-12.6,0
14.01.2021 05:20,0.2,0.0226,0,0.013,744.8,78.1,0.6,359,-12.7,0.3
14.01.2021 05:40,0.2,0.0236,0.001,0.011,744.6,78.8,0.6,0,-12.8,0
14.01.2021 06:00,0.2,0.0211,0.001,0.016,744.5,79,0.7,93,-12.9,0
14.01.2021 06:20,0.2,0.0276,0.003,0.011,744.5,79,0.6,0,-12.8,0
14.01.2021 06:40,0.2,0.0302,0.002,0.014,744.4,78.8,0.8,0,-12.8,0
14.01.2021 07:00,0.2,0.0339,0.002,0.012,744.2,77.5,0.7,0,-12.8,0
14.01.2021 07:20,0.3,0.0388,0.014,0.012,744.1,76.9,0.7,52,-12.9,0
14.01.2021 07:40,0.3,0.0448,0.023,0.013,744,77,0.5,85,-13.1,0
14.01.2021 08:00,0.3,0.04,0.015,0.016,743.9,76.4,0.9,21,-13.3,0
14.01.2021 08:20,0.3,0.0427,0.013,0.018,743.9,76,0.8,0,-13.4,0
14.01.2021 08:40,0.3,0.0414,0.004,0.016,743.7,76.7,0.7,354,-13.5,0
14.01.2021 09:00,0.3,0.0419,0.003,0.014,743.6,77,0.6,27,-13.6,0
14.01.2021 09:20,0.3,0.0414,0.005,0.014,743.5,76.8,0.9,23,-13.7,0
14.01.2021 09:40,0.3,0.0402,0.006,0.015,743.5,76.2,0.5,18,-13.7,0
14.01.2021 10:00,0.3,0.04,0.007,0.016,743.6,75.8,0.7,0,-13.7,0
14.01.2021 10:20,0.3,0.0394,0.007,0.017,743.6,75.1,0.8,0,-13.6,0
14.01.2021 10:40,0.3,0.0398,0.01,0.016,743.4,75,0.7,63,-13.6,0
14.01.2021 11:00,0.4,0.0386,0.01,0.017,743.5,75.6,0.6,43,-13.6,0
14.01.2021 11:20,0.4,0.0389,0.012,0.017,743.4,75.2,0.5,11,-13.5,0
14.01.2021 11:40,0.3,0.0368,0.011,0.017,743.3,75,0.6,20,-13.5,0
14.01.2021 12:00,0.4,0.0379,0.012,0.019,743.3,75,0.5,36,-13.3,0
14.01.2021 12:20,0.4,0.0387,0.013,0.019,743.3,75.2,0.7,48,-13.4,0
14.01.2021 12:40,0.4,0.0391,0.015,0.019,743.3,75.7,0.9,0,-13.3,0
14.01.2021 13:00,0.4,0.0407,0.019,0.02,743.2,76,0.5,129,-13.2,0
14.01.2021 13:20,0.4,0.0378,0.013,0.021,743.2,75.9,0.5,0,-13.2,0
14.01.2021 13:40,0.4,0.0383,0.013,0.02,743,76,0.5,18,-13.1,0
14.01.2021 14:00,0.4,0.0375,0.011,0.024,743,76,0.6,4,-13,0
14.01.2021 14:20,0.4,0.0369,0.009,0.025,743,76.5,0.7,25,-13,0
14.01.2021 14:40,0.4,0.0364,0.009,0.025,743,76.9,0.6,0,-13,0
14.01.2021 15:00,0.4,0.0371,0.008,0.024,743,76.6,0.6,49,-12.9,0
14.01.2021 15:20,0.4,0.0397,0.008,0.024,743.2,76,0.6,0,-12.9,0
14.01.2021 15:40,0.4,0.0417,0.008,0.022,743.2,76,0.4,0,-12.9,0
14.01.2021 16:00,0.4,0.0535,0.015,0.02,743.1,76.3,0.4,21,-12.8,0
14.01.2021 16:20,0.4,0.0571,0.014,0.022,743.3,76.1,0.5,37,-12.8,0
14.01.2021 16:40,0.4,0.058,0.01,0.02,743.4,76.2,0.5,48,-13,0
14.01.2021 17:00,0.4,0.0608,0.009,0.021,743.5,76.9,0.3,359,-13,0
14.01.2021 17:20,0.5,0.0613,0.011,0.021,743.6,76.9,0.4,4,-13,0
