Дата и время,CO,NO2,NO,PM2.5,Давление,Влажность,| V |,_V_,-T-,Осадки
13.01.2021 00:00,0.3,0.039,0.032,0.019,749.3,85.8,0.6,0,-10.8,0
13.01.2021 00:20,0.2,0.0392,0.033,0.018,749.2,85.5,0.6,127,-10.8,0
13.01.2021 00:40,0.3,0.0391,0.032,0.018,749.3,85.7,0.5,0,-10.8,0
13.01.2021 01:00,0.3,0.039,0.032,0.018,749.2,85.5,0.4,111,-10.6,0
13.01.2021 01:20,0.3,0.0391,0.032,0.019,749.2,85.1,0.5,155,-10.6,0
13.01.2021 01:40,0.2,0.0387,0.022,0.018,749.2,84.7,0.6,145,-10.8,0
13.01.2021 02:00,0.2,0.0385,0.02,0.016,749.2,85.3,0.5,126,-11,0
13.01.2021 02:20,0.2,0.0384,0.021,0.016,749.3,85,0.6,124,-10.8,0
13.01.2021 02:40,0.2,0.0391,0.022,0.017,749.3,85,0.3,0,-10.7,0
13.01.2021 03:00,0.2,0.0389,0.021,0.017,749.3,84.4,0.4,152,-10.6,0
13.01.2021 03:20,0.2,0.0386,0.014,0.016,749.3,84.4,0.6,119,-10.9,0
13.01.2021 03:40,0.2,0.0388,0.015,0.015,749.2,84.9,0.3,0,-10.9,0
13.01.2021 04:00,0.2,0.0388,0.014,0.015,749.2,85.5,0.4,118,-10.9,0
13.01.2021 04:20,0.2,0.039,0.014,0.016,749.4,85.8,0.7,80,-11,0
13.01.2021 04:40,0.2,0.0392,0.015,0.016,749.3,86,0.6,0,-11.1,0
13.01.2021 05:00,0.2,0.0386,0.013,0.015,749.1,85.5,0.4,117,-11.1,0
13.01.2021 05:20,0.1,0.0383,0.012,0.015,749,85,0.3,0,-11.1,0
13.01.2021 05:40,0.1,0.038,0.011,0.015,749,84.5,0.4,0,-11.2,0
13.01.2021 06:00,0.2,0.0374,0.01,0.015,748.9,85,0.4,118,-11.3,0
13.01.2021 06:20,0.1,0.0369,0.009,0.016,748.9,84.5,0.7,154,-11.4,0
13.01.2021 06:40,0.2,0.0374,0.01,0.017,748.9,85,0.4,89,-11.4,0
13.01.2021 07:00,0.2,0.0371,0.009,0.017,749,84,0.7,126,-11.4,0
13.01.2021 07:20,0.2,0.0382,0.014,0.017,749,84.2,0.8,0,-11.4,0
13.01.2021 07:40,0.2,0.0354,0.026,0.017,749,84,0.7,129,-11.4,0
13.01.2021 08:00,0.2,0.0411,0.026,0.017,749,84.3,0.5,158,-11.3,0
13.01.2021 08:20,0.3,0.0392,0.018,0.017,749,83.9,0.7,162,-11.3,0
13.01.2021 08:40,0.5,0.0405,0.019,0.017,749.1,84,0.5,0,-11.4,0
13.01.2021 09:00,0.3,0.0393,0.022,0.019,749.2,84,0.6,117,-11.4,0
13.01.2021 09:20,0.4,0.0394,0.03,0.019,749.3,84,0.5,95,-11.3,0
13.01.2021 09:40,0.4,0.039,0.024,0.019,749.5,83.9,0.8,78,-11.4,0
13.01.2021 10:00,0.3,0.0392,0.027,0.019,749.7,84,0.8,0,-11.4,0
13.01.2021 10:20,0.4,0.0389,0.031,0.018,749.7,84,0.7,100,-11.3,0
13.01.2021 10:40,0.3,0.0381,0.03,0.017,749.6,83.7,0.5,0,-11.2,0
13.01.2021 11:00,0.4,0.0374,0.033,0.017,749.6,83.3,0.5,160,-10.9,0
13.01.2021 11:20,0.3,0.0416,0.042,0.017,749.6,82.3,0.6,207,-10.8,0
13.01.2021 11:40,0.3,0.0353,0.028,0.017,749.6,82.5,0.6,116,-10.9,0
13.01.2021 12:00,0.3,0.035,0.027,0.017,749.6,82.9,0.6,129,-10.8,0
13.01.2021 12:20,0.3,0.0353,0.024,0.016,749.5,82.9,0.6,125,-10.7,0
13.01.2021 12:40,0.2,0.0328,0.021,0.016,749.4,82.9,0.9,134,-10.8,0
13.01.2021 13:00,0.2,0.0314,0.019,0.016,749.3,83.1,0.9,97,-10.8,0
13.01.2021 13:20,0.2,0.0296,0.018,0.016,749.2,82.6,0.9,0,-10.8,0
13.01.2021 13:40,0.3,0.0303,0.019,0.017,749.1,82.2,0.7,0,-10.5,0
13.01.2021 14:00,0.3,0.0351,0.028,0.016,748.8,82,0.9,147,-10.4,0
13.01.2021 14:20,0.3,0.0376,0.032,0.017,748.6,82.9,0.8,162,-10.6,0
13.01.2021 14:40,0.3,0.0379,0.032,0.017,748.4,83.1,1,147,-10.8,0
13.01.2021 15:00,0.3,0.0376,0.029,0.017,748.2,83.6,1.1,160,-10.9,0
13.01.2021 15:20,0.3,0.0366,0.021,0.017,748.2,84,1,130,-11.1,0
13.01.2021 15:40,0.3,0.0379,0.02,0.018,748.3,84,1.1,153,-11.3,0
13.01.2021 16:00,0.3,0.0394,0.021,0.019,748.4,84.8,0.7,0,-11.4,0
