FileFormat:0002.2 file with temperature of atmosphere
200
local	GMT or Local
0	GMT-Local=[hours]
0	Height[m]
0	0	0	Longitude                [grd]               [min]               [sec]
0	0	0	Latitude                [grd]               [min]               [sec]
N	NS
59,40	Freq[GHz]
0,00	dTemostat[K]
0,150	MessErr[K]
0,248	//[grad/step]
version 14.0.20110218
MTP5H033F5940K-33.00D180214+A1.1
Commentary:
enter comment
End Of Commentary

SYSTEM\summer.dat
data time	0	50	100	150	200	250	300	350	400	450	500	550	600	OutsideTemperature	Quality
21/09/2021 00:00:00	5,56	5,56	5,35	5,07	4,82	4,56	4,31	4,04	3,76	3,52	3,33	3,14	2,95	5,61	0
21/09/2021 00:05:00	5,56	5,57	5,39	5,15	4,97	4,72	4,42	4,13	3,85	3,61	3,42	3,22	3,02	5,61	0
21/09/2021 00:10:00	5,59	5,56	5,38	5,11	4,84	4,63	4,33	4,03	3,74	3,50	3,30	3,10	2,91	5,56	0
21/09/2021 00:15:00	5,56	5,56	5,37	5,06	4,78	4,52	4,25	3,96	3,66	3,41	3,21	3,01	2,81	5,56	0
21/09/2021 00:20:00	5,56	5,52	5,33	5,07	4,84	4,58	4,29	4,01	3,72	3,47	3,26	3,06	2,86	5,55	0
21/09/2021 00:25:00	5,50	5,51	5,31	5,09	4,78	4,57	4,32	4,06	3,77	3,54	3,35	3,16	2,98	5,56	0
21/09/2021 00:30:00	5,57	5,58	5,37	5,11	4,87	4,58	4,32	4,04	3,75	3,50	3,30	3,10	2,90	5,63	0
21/09/2021 00:35:00	5,60	5,57	5,36	5,15	4,96	4,64	4,39	4,13	3,85	3,60	3,39	3,18	2,97	5,58	0
21/09/2021 00:40:00	5,55	5,48	5,30	5,07	4,86	4,69	4,43	4,18	3,92	3,70	3,52	3,35	3,17	5,53	0
21/09/2021 00:45:00	5,52	5,49	5,34	5,12	4,97	4,70	4,41	4,14	3,86	3,62	3,41	3,20	2,99	5,55	0
21/09/2021 00:50:00	5,59	5,57	5,39	5,24	4,95	4,71	4,46	4,19	3,90	3,65	3,43	3,21	2,99	5,60	0
21/09/2021 00:55:00	5,59	5,57	5,44	5,28	5,10	4,92	4,70	4,46	4,20	3,98	3,80	3,61	3,42	5,54	0
21/09/2021 01:00:00	5,64	5,59	5,38	5,16	4,96	4,72	4,46	4,20	3,93	3,69	3,50	3,31	3,12	5,61	0
21/09/2021 01:05:00	5,53	5,54	5,40	5,20	5,00	4,80	4,65	4,44	4,18	3,96	3,80	3,63	3,47	5,58	0
21/09/2021 01:10:00	5,54	5,61	5,47	5,25	5,07	4,87	4,63	4,37	4,10	3,88	3,70	3,51	3,33	5,56	0
21/09/2021 01:15:00	5,59	5,62	5,38	5,12	4,95	4,64	4,43	4,19	3,91	3,68	3,50	3,32	3,13	5,64	0
21/09/2021 01:20:00	5,61	5,58	5,39	5,10	4,89	4,68	4,47	4,23	3,97	3,75	3,58	3,42	3,25	5,56	0
21/09/2021 01:25:00	5,55	5,61	5,46	5,22	4,92	4,68	4,38	4,08	3,78	3,52	3,30	3,08	2,86	5,60	0
21/09/2021 01:30:00	5,62	5,56	5,43	5,26	5,04	4,89	4,71	4,49	4,24	4,03	3,86	3,69	3,52	5,60	0
21/09/2021 01:35:00	5,61	5,62	5,45	5,18	4,96	4,70	4,46	4,20	3,92	3,68	3,49	3,29	3,10	5,61	0
21/09/2021 01:40:00	5,64	5,63	5,44	5,16	4,92	4,67	4,41	4,14	3,85	3,61	3,42	3,22	3,03	5,65	0
21/09/2021 01:45:00	5,62	5,60	5,40	5,18	4,94	4,63	4,41	4,15	3,87	3,62	3,41	3,20	3,00	5,63	0
21/09/2021 01:50:00	5,61	5,64	5,41	5,19	4,91	4,65	4,39	4,11	3,82	3,58	3,38	3,18	2,98	5,65	0
21/09/2021 01:55:00	5,61	5,57	5,36	5,10	4,85	4,62	4,43	4,19	3,92	3,69	3,52	3,35	3,18	5,63	0
21/09/2021 02:00:00	5,60	5,56	5,41	5,15	4,96	4,74	4,52	4,28	4,01	3,79	3,61	3,43	3,25	5,60	0
21/09/2021 02:05:00	5,59	5,58	5,40	5,19	4,99	4,83	4,62	4,39	4,14	3,93	3,78	3,62	3,46	5,60	0
21/09/2021 02:10:00	5,62	5,57	5,40	5,16	4,95	4,80	4,58	4,35	4,09	3,88	3,72	3,56	3,40	5,63	0
21/09/2021 02:15:00	5,67	5,61	5,46	5,25	5,05	4,82	4,66	4,45	4,19	3,96	3,78	3,60	3,42	5,63	0
21/09/2021 02:20:00	5,59	5,60	5,45	5,26	5,04	4,90	4,66	4,41	4,15	3,93	3,76	3,59	3,42	5,63	0
21/09/2021 02:25:00	5,67	5,64	5,51	5,32	5,14	4,95	4,76	4,54	4,28	4,06	3,89	3,71	3,53	5,65	0
