FileFormat:0002.2 file with temperature of atmosphere
200
local	GMT or Local
0	GMT-Local=[hours]
0	Height[m]
0	0	0	Longitude                [grd]               [min]               [sec]
0	0	0	Latitude                [grd]               [min]               [sec]
N	NS
59,40	Freq[GHz]
0,00	dTemostat[K]
0,150	MessErr[K]
0,248	//[grad/step]
version 14.0.20110218
MTP5H033F5940K-33.00D180214+A1.1
Commentary:
enter comment
End Of Commentary

SYSTEM\summer.dat
data time	0	50	100	150	200	250	300	350	400	450	500	550	600	OutsideTemperature	Quality
08/04/2021 00:00:00	2,73	2,53	2,46	2,28	2,14	1,91	1,70	1,45	1,19	0,96	0,79	0,61	0,44	2,93	0
08/04/2021 00:05:00	2,73	2,56	2,44	2,33	2,20	1,97	1,75	1,51	1,25	1,04	0,87	0,70	0,53	2,76	0
08/04/2021 00:10:00	2,69	2,58	2,45	2,32	2,11	1,92	1,67	1,41	1,15	0,93	0,77	0,61	0,44	2,72	0
08/04/2021 00:15:00	2,70	2,59	2,44	2,29	2,11	1,89	1,65	1,39	1,13	0,91	0,75	0,59	0,43	2,73	0
08/04/2021 00:20:00	2,71	2,58	2,47	2,29	2,16	1,91	1,68	1,43	1,17	0,95	0,78	0,61	0,44	2,73	0
08/04/2021 00:25:00	2,70	2,58	2,44	2,31	2,11	1,88	1,65	1,40	1,13	0,91	0,74	0,57	0,40	2,75	0
08/04/2021 00:30:00	2,75	2,54	2,40	2,23	2,06	1,87	1,67	1,45	1,20	0,99	0,85	0,70	0,56	2,73	0
08/04/2021 00:35:00	2,70	2,57	2,46	2,30	2,10	1,86	1,56	1,27	0,99	0,76	0,57	0,38	0,19	2,73	0
08/04/2021 00:40:00	2,73	2,60	2,51	2,42	2,22	1,99	1,77	1,52	1,25	1,02	0,83	0,65	0,46	2,70	0
08/04/2021 00:45:00	2,71	2,56	2,42	2,23	2,07	1,86	1,62	1,37	1,11	0,90	0,74	0,58	0,43	2,68	0
08/04/2021 00:50:00	2,72	2,64	2,47	2,31	2,11	1,83	1,59	1,34	1,06	0,83	0,66	0,49	0,31	2,83	0
08/04/2021 00:55:00	2,87	2,84	2,73	2,58	2,34	2,05	1,77	1,49	1,19	0,93	0,73	0,52	0,32	2,83	0
